lat_grid,lon_grid,hour,dayofweek,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,crime_count,city,City,risk_score
8.86,76.61,0.0,5.0,1.0,0.125,0.08333333333333333,0.0,unknown,,0.4416666666666667
8.86,76.61,12.0,0.0,1.0,0.1875,0.08333333333333333,0.0,unknown,,0.45416666666666666
8.86,76.62,0.0,1.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.62,12.0,0.0,1.0,0.125,0.08333333333333333,0.0,unknown,,0.4416666666666667
8.86,76.63,12.0,0.0,1.0,0.2,0.09999999999999999,0.0,unknown,,0.4600000000000001
8.86,76.64,0.0,3.0,1.0,0.125,0.08333333333333333,0.0,unknown,,0.4416666666666667
8.86,76.64,12.0,0.0,1.0,0.20833333333333334,0.1111111111111111,0.0,unknown,,0.4638888888888889
8.86,76.65,0.0,0.0,1.0,0.5,0.08333333333333333,0.0,unknown,,0.5166666666666667
8.86,76.65,0.0,5.0,1.0,0.375,0.25,0.0,unknown,,0.525
8.86,76.65,0.0,6.0,1.0,0.125,0.08333333333333333,0.0,unknown,,0.4416666666666667
8.86,76.65,12.0,0.0,1.0,0.2,0.09999999999999999,0.0,unknown,,0.4600000000000001
8.86,76.66,0.0,2.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.66,0.0,5.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.66,12.0,0.0,1.0,0.1875,0.08333333333333333,0.0,unknown,,0.45416666666666666
8.86,76.67,0.0,1.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.67,0.0,3.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.67,0.0,4.0,0.8333333333333334,0.25,0.08333333333333333,0.0,unknown,,0.4
8.86,76.67,0.0,5.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.67,12.0,0.0,1.0,0.1875,0.08333333333333333,0.0,unknown,,0.45416666666666666
8.86,76.68,0.0,4.0,1.0,0.1875,0.08333333333333333,0.0,unknown,,0.45416666666666666
8.86,76.68,12.0,0.0,1.0,0.1875,0.09722222222222222,0.0,unknown,,0.45694444444444443
8.86,76.69,0.0,3.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.69,0.0,4.0,1.0,0.25,0.16666666666666666,0.0,unknown,,0.48333333333333334
8.86,76.69,0.0,6.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.69,12.0,0.0,1.0,0.25,0.08333333333333333,0.0,unknown,,0.4666666666666667
8.86,76.7,0.0,0.0,1.0,0.25,0.25,0.0,unknown,,0.5
8.86,76.7,0.0,1.0,1.0,0.1875,0.08333333333333333,0.0,unknown,,0.45416666666666666
8.86,76.7,0.0,2.0,1.0,0.375,0.25,0.0,unknown,,0.525
8.86,76.7,0.0,6.0,1.0,0.125,0.08333333333333333,0.0,unknown,,0.4416666666666667
8.86,76.7,12.0,0.0,1.0,0.25,0.16666666666666666,0.0,unknown,,0.48333333333333334
8.87,76.61,0.0,0.0,0.8888888888888888,0.2916666666666667,0.1388888888888889,0.0,unknown,,0.4416666666666667
8.87,76.61,0.0,1.0,1.0,0.25,0.125,0.0,unknown,,0.47500000000000003
8.87,76.61,0.0,2.0,0.6666666666666666,0.25,0.08333333333333333,0.0,unknown,,0.3333333333333333
8.87,76.61,0.0,3.0,1.0,0.125,0.16666666666666666,0.0,unknown,,0.45833333333333337
8.87,76.61,0.0,4.0,0.8333333333333334,0.25,0.08333333333333333,0.0,unknown,,0.4
8.87,76.61,0.0,5.0,0.6666666666666666,0.25,0.08333333333333333,0.0,unknown,,0.3333333333333333
8.87,76.61,0.0,6.0,0.9444444444444445,0.25,0.08333333333333333,0.0,unknown,,0.4444444444444445
8.87,76.61,12.0,0.0,0.9851851851851853,0.2111111111111111,0.09074074074074073,0.0,unknown,,0.4544444444444445
8.87,76.62,0.0,0.0,0.9629629629629629,0.2222222222222222,0.12037037037037036,0.0,unknown,,0.4537037037037037
8.87,76.62,0.0,1.0,0.9523809523809524,0.26785714285714285,0.10714285714285715,0.0,unknown,,0.45595238095238094
8.87,76.62,0.0,2.0,1.0,0.21428571428571427,0.17857142857142858,0.0,unknown,,0.4785714285714286
8.87,76.62,0.0,3.0,0.9166666666666666,0.21875,0.08333333333333333,0.0,unknown,,0.42708333333333337
